origem_escola;situacao;idade;nota_mat_enem;qtd_reprovacao_1_periodo
particular;abandono;28;851;1
publico;ativo;17;521;3
particular;abandono;18;746;0
particular;abandono;18;729;0
particular;abandono;28;752;0
particular;abandono;18;722;1
particular;ativo;18;704;2
particular;abandono;25;724;0
particular;ativo;18;683;0
particular;ativo;18;668;1
particular;ativo;18;666;1
particular;ativo;18;647;0
particular;ativo;18;978;4
particular;ativo;18;786;1
publico;abandono;18;783;0
publico;abandono;18;782;1
publico;abandono;18;778;6
publico;abandono;18;775;0
publico;ativo;18;748;3
publico;ativo;18;745;3
publico;ativo;18;744;2
publico;ativo;18;742;1
publico;ativo;18;711;0
publico;ativo;18;709;2
publico;ativo;18;693;4
publico;ativo;18;686;3
publico;ativo;18;675;1
publico;ativo;18;673;2
publico;ativo;18;612;1
publico;abandono;24;785;5
publico;ativo;18;554;2
particular;ativo;19;676;2
particular;ativo;19;650;1
particular;ativo;19;827;0
particular;ativo;19;786;0
publico;abandono;24;771;3
publico;abandono;24;771;6
publico;ativo;19;736;0
publico;abandono;22;761;4
publico;ativo;19;734;0
publico;ativo;19;729;2
publico;ativo;19;728;3
publico;ativo;19;728;1
publico;ativo;19;726;0
publico;ativo;19;722;4
publico;ativo;19;712;0
publico;ativo;22;742;3
publico;ativo;23;741;0
publico;ativo;22;738;0
publico;ativo;19;537;7
particular;abandono;20;842;0
particular;abandono;20;708;1
particular;ativo;20;672;1
publico;ativo;22;733;1
publico;ativo;22;730;1
particular;ativo;20;661;3
particular;ativo;20;568;2
particular;ativo;20;815;0
publico;abandono;20;771;1
publico;abandono;20;761;1
publico;ativo;22;724;1
publico;abandono;20;756;0
publico;ativo;23;722;4
publico;ativo;20;748;0
publico;ativo;20;728;0
publico;ativo;20;714;3
publico;ativo;20;712;1
publico;ativo;20;707;0
publico;ativo;20;651;2
publico;ativo;20;634;0
publico;ativo;28;707;3
publico;ativo;23;701;1
publico;ativo;26;698;1
publico;ativo;20;629;3
particular;abandono;21;765;0
particular;abandono;21;760;1
particular;abandono;21;709;1
particular;abandono;21;709;5
publico;ativo;25;673;3
publico;ativo;24;666;3
particular;ativo;21;705;0
particular;ativo;21;625;2
publico;abandono;21;755;0
publico;ativo;21;737;1
publico;ativo;22;623;2
publico;ativo;21;735;0
publico;ativo;21;710;3
publico;ativo;21;683;0
publico;ativo;21;623;1
publico;ativo;21;610;1
;;;;
;;;;
